,country,sex,age,marriage_duration_years,num_children_total,num_children_inhome,edu_level,material_situation,religion,religiosity,pension,enjoy_spouse_company,happiness,spouse_attraction,spouse_enjoy_doing_things_together,spouse_enjoy_cuddling,spouse_respect,spouse_pride,spouse_romance,spouse_love,marital_satisfaction,spouse_satisfaction,relationship_satisfaction,natl_pride_in_parents,natl_pride_in_children,natl_aging_parents_live_with_children,natl_children_live_at_home_marraige,indv_pride_in_parents,indv_pride_in_children,indv_aging_parents_live_with_children,indv_children_live_at_home_marraige
3478,Kazakhstan,2.0,43.0,23.0,2.0,2.0,5.0,2.0,2.0,4.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,3,3.0,0.0,3.0,3,3.0,-2.0,3.0
3479,Kazakhstan,2.0,36.0,12.0,3.0,3.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3,3.0,3.0,3.0,3,3.0,3.0,2.0
3480,Kazakhstan,1.0,49.0,17.0,2.0,2.0,3.0,0.0,2.0,5.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3,3.0,0.0,2.0,3,3.0,1.0,2.0
3481,Kazakhstan,1.0,37.0,13.0,2.0,2.0,5.0,0.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2,2.0,0.0,-1.0,3,2.0,2.0,1.0
3482,Kazakhstan,1.0,61.0,39.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2,-1.0,0.0,3.0,3,3.0,-1.0,1.0
3483,Kazakhstan,1.0,42.0,19.0,2.0,2.0,3.0,0.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2,3.0,0.0,2.0,3,3.0,-1.0,1.0
3484,Kazakhstan,1.0,39.0,10.0,2.0,2.0,5.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3,3.0,3.0,0.0,3,3.0,3.0,0.0
3485,Kazakhstan,1.0,36.0,12.0,3.0,3.0,3.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2,3.0,2.0,1.0,2,3.0,2.0,0.0
3486,Kazakhstan,2.0,37.0,15.0,2.0,2.0,5.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3,3.0,1.0,-1.0,3,3.0,2.0,-1.0
3487,Kazakhstan,1.0,38.0,15.0,2.0,2.0,3.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2,3.0,2.0,-2.0,3,3.0,-2.0,-1.0
3488,Kazakhstan,1.0,41.0,14.0,1.0,1.0,5.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3,3.0,-1.0,1.0,3,3.0,3.0,-2.0
3489,Kazakhstan,2.0,52.0,23.0,1.0,0.0,3.0,0.0,2.0,4.0,1.0,-1.0,0.0,1.0,0.0,0.0,2.0,-1.0,-2.0,0.0,-1.0,-2.0,-2.0,2,2.0,0.0,-1.0,3,3.0,0.0,-2.0
3490,Kazakhstan,1.0,43.0,15.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,3,3.0,2.0,-3.0,3,3.0,3.0,-3.0
3491,Kazakhstan,2.0,34.0,11.0,2.0,2.0,3.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3,3.0,3.0,2.0,3,3.0,2.0,-3.0
3492,Kazakhstan,2.0,36.0,15.0,2.0,2.0,5.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,2,3.0,-2.0,2.0,3,3.0,2.0,-3.0
3493,Kazakhstan,2.0,28.0,8.0,1.0,1.0,3.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1,1.0,1.0,0.0,2,2.0,2.0,-3.0
3494,Kazakhstan,1.0,42.0,23.0,2.0,2.0,5.0,2.0,2.0,3.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,3,3.0,-3.0,-2.0,3,3.0,-3.0,-3.0
3495,Kazakhstan,2.0,58.0,23.0,2.0,2.0,3.0,0.0,11.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3,3.0,3.0,3.0,3,3.0,3.0,3.0
3496,Kazakhstan,1.0,31.0,6.0,2.0,2.0,3.0,0.0,11.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3,3.0,3.0,3.0,3,3.0,3.0,3.0
3497,Kazakhstan,1.0,31.0,8.0,2.0,2.0,5.0,0.0,11.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3,3.0,3.0,3.0,3,3.0,3.0,3.0
3498,Kazakhstan,1.0,33.0,9.0,2.0,2.0,5.0,1.0,11.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3,3.0,0.0,3.0,3,3.0,3.0,3.0
3499,Kazakhstan,1.0,21.0,1.0,0.0,0.0,3.0,2.0,11.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3,3.0,0.0,3.0,3,3.0,3.0,3.0
3500,Kazakhstan,2.0,33.0,12.0,2.0,2.0,5.0,0.0,11.0,4.0,-2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,-1.0,2.0,3.0,3.0,3.0,2,3.0,-3.0,1.0,2,3.0,3.0,3.0
3501,Kazakhstan,1.0,29.0,9.0,2.0,2.0,3.0,0.0,11.0,4.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,3,3.0,2.0,3.0,3,3.0,2.0,3.0
3502,Kazakhstan,1.0,34.0,7.0,2.0,2.0,5.0,-1.0,11.0,3.0,-2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1,3.0,2.0,3.0,3,3.0,2.0,3.0
3503,Kazakhstan,2.0,36.0,13.0,2.0,2.0,3.0,0.0,11.0,5.0,-3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,1,3.0,0.0,3.0,3,3.0,2.0,3.0
3504,Kazakhstan,2.0,46.0,15.0,2.0,2.0,5.0,-1.0,11.0,5.0,-1.0,0.0,-1.0,2.0,2.0,2.0,1.0,0.0,-2.0,1.0,-1.0,-1.0,-1.0,0,1.0,2.0,3.0,1,3.0,2.0,3.0
