,country,sex,age,marriage_duration_years,num_children_total,num_children_inhome,edu_level,material_situation,religion,religiosity,pension,enjoy_spouse_company,happiness,spouse_attraction,spouse_enjoy_doing_things_together,spouse_enjoy_cuddling,spouse_respect,spouse_pride,spouse_romance,spouse_love,marital_satisfaction,spouse_satisfaction,relationship_satisfaction,natl_pride_in_parents,natl_pride_in_children,natl_aging_parents_live_with_children,natl_children_live_at_home_marraige,indv_pride_in_parents,indv_pride_in_children,indv_aging_parents_live_with_children,indv_children_live_at_home_marraige
3062,Iran ,Female,24.0,2.0,0.0,0.0,Bachelors or Masters degree,Average,Muslim,Slightly religious,Neither agree nor disagree,Yes,Neither yes or no,Rather yes,Yes,Rather yes,Yes,Yes,Rather yes,Rather yes,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Strongly agree,Strongly agree,Disagree slightly,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree somewhat
3063,Iran ,Male,40.0,15.0,1.0,1.0,Bachelors or Masters degree,Average,Muslim,Moderately,Agree slightly,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Yes,Yes,Yes,Yes,Somewhat Satisfied,Very Satisfied,Somewhat Satisfied,Strongly agree,Strongly agree,Disagree somewhat,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree somewhat
3064,Iran ,Female,26.0,2.0,0.0,0.0,High school or technical school,Worse than average,Muslim,Moderately,Agree slightly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Strongly agree,Strongly agree,Agree slightly,Agree somewhat,Strongly agree,Strongly agree,Neither agree nor disagree,Agree somewhat
3065,Iran ,Male,37.0,4.0,1.0,1.0,High school or technical school,Better than average,Muslim,Slightly religious,Agree slightly,Yes,Yes,Yes,Yes,Yes,Rather yes,Yes,Rather yes,Rather yes,Very Satisfied,Very Satisfied,Very Satisfied,Strongly agree,Strongly agree,Agree somewhat,Agree somewhat,Agree somewhat,Strongly agree,Neither agree nor disagree,Agree somewhat
3066,Iran ,Female,31.0,10.0,1.0,1.0,Secondary school,Average,Muslim,Moderately,Agree slightly,Rather yes,Neither yes or no,Neither yes or no,Rather yes,Rather yes,Rather yes,Neither yes or no,Neither yes or no,Neither yes or no,Slightly Dissatisfied,Somewhat Dissatisfied,Slightly Dissatisfied,Agree somewhat,Strongly agree,Agree somewhat,Agree slightly,Agree somewhat,Strongly agree,Neither agree nor disagree,Agree somewhat
3067,Iran ,Female,24.0,4.0,1.0,1.0,High school or technical school,Average,Muslim,Somewhat religious,Disagree slightly,Rather yes,Rather no,Neither yes or no,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Neither yes or no,Somewhat Dissatisfied,Very Dissatisfied,Somewhat Dissatisfied,Agree somewhat,Strongly agree,Agree slightly,Agree somewhat,Agree somewhat,Agree somewhat,Neither agree nor disagree,Agree somewhat
3068,Iran ,Female,30.0,10.0,1.0,1.0,High school or technical school,Average,Muslim,Moderately,Disagree somewhat,Rather no,Rather yes,No,No,No,Neither yes or no,No,No,Neither yes or no,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Agree somewhat,Strongly agree,Disagree strongly,Agree somewhat,Agree somewhat,Agree somewhat,Neither agree nor disagree,Agree somewhat
3069,Iran ,Female,27.0,1.0,0.0,0.0,High school or technical school,Average,Muslim,Slightly irreligious,Agree somewhat,Yes,Rather yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Agree slightly,Strongly agree,Agree slightly,Agree somewhat,Agree somewhat,Agree slightly,Neither agree nor disagree,Agree somewhat
3070,Iran ,Female,32.0,10.0,2.0,2.0,Secondary school,Average,Muslim,Moderately,Neither agree nor disagree,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Strongly agree,Strongly agree,Disagree strongly,Strongly agree,Strongly agree,Strongly agree,Disagree slightly,Agree somewhat
3071,Iran ,Male,31.0,4.0,1.0,1.0,Bachelors or Masters degree,Average,Muslim,Slightly religious,Disagree strongly,Yes,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Agree somewhat,Strongly agree,Disagree slightly,Agree somewhat,Agree somewhat,Strongly agree,Disagree slightly,Agree somewhat
