,country,sex,age,marriage_duration_years,num_children_total,num_children_inhome,edu_level,material_situation,religion,religiosity,pension,enjoy_spouse_company,happiness,spouse_attraction,spouse_enjoy_doing_things_together,spouse_enjoy_cuddling,spouse_respect,spouse_pride,spouse_romance,spouse_love,marital_satisfaction,spouse_satisfaction,relationship_satisfaction,natl_pride_in_parents,natl_pride_in_children,natl_aging_parents_live_with_children,natl_children_live_at_home_marraige,indv_pride_in_parents,indv_pride_in_children,indv_aging_parents_live_with_children,indv_children_live_at_home_marraige
95,Brazil ,1,30,5,1,1,5,1,None,1,-2,2,1,2,2,2,2,2,1,2,2,3,2,-1,2,-3,2,3,3,0,0
96,Brazil ,1,27,3,1,1,5,0,None,1,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,-1,3,3,0,0
97,Brazil ,1,32,3,0,0,5,1,None,7,0,2,1,2,2,2,2,2,2,2,2,2,2,-1,1,2,-1,3,3,0,0
98,Brazil ,2,28,7,0,0,5,1,None,4,1,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,1,3,3,1,-1
99,Brazil ,1,26,2,0,0,5,1,None,3,-2,2,1,2,2,2,2,1,2,2,2,1,1,3,3,0,2,2,3,-2,-1
100,Brazil ,1,25,1,0,0,5,1,None,7,-3,2,2,2,2,1,2,2,2,2,2,3,3,0,2,-1,3,3,3,-3,-2
101,Brazil ,1,31,3,0,0,5,2,None,6,-3,2,2,2,2,2,2,2,2,2,3,3,3,2,2,-3,1,1,1,-3,-2
102,Brazil ,1,30,6,0,0,5,1,None,3,-2,2,1,1,2,2,2,0,-1,2,-1,-1,-1,3,-2,3,3,1,3,1,-3
103,Brazil ,2,40,10,0,0,5,1,None,1,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,-2,2,3,3,0,-3
104,Brazil ,2,23,3,0,1,4,0,None,1,-1,2,2,1,2,2,2,2,1,2,3,2,3,0,3,1,-1,1,1,-1,-3
105,Brazil ,1,24,4,0,0,5,0,None,3,-1,2,2,2,2,1,2,2,2,2,2,1,3,1,3,-2,-1,3,3,-3,-3
106,Brazil ,1,42,1,1,1,5,1,None,3,-2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,-2,2,2,3,-3,-3
107,Brazil ,1,28,5,0,0,4,0,None,1,-3,2,1,2,2,2,2,2,1,2,1,2,1,1,1,-3,-3,1,1,-3,-3
108,Brazil ,1,26,1,0,0,5,1,None,2,-2,2,1,2,2,2,2,2,2,2,3,2,3,2,2,2,2,0,0,-3,-3
109,Brazil ,1,38,2,1,1,5,1,Jewish,4,-1,1,0,1,1,0,0,0,-1,0,-1,-1,-2,3,3,1,2,3,3,1,3
110,Brazil ,1,48,7,2,0,5,1,Jewish,4,-3,2,2,1,2,2,2,2,1,2,3,3,3,3,3,-3,1,2,2,-3,2
111,Brazil ,1,33,6,1,1,5,2,Jewish,1,1,2,2,1,2,1,2,2,1,2,2,2,2,1,3,2,2,2,3,3,-2
112,Brazil ,2,31,11,1,1,5,2,Buddhist,4,-3,2,2,2,2,2,2,2,1,2,2,3,3,3,3,0,3,3,3,-2,3
113,Brazil ,2,57,8,0,0,5,1,Buddhist,4,-3,1,1,1,1,1,1,1,1,1,2,2,2,-1,-1,-3,3,3,3,-3,3
114,Brazil ,2,29,1,0,0,5,0,Spiritualism,5,-3,2,2,2,2,2,2,2,2,2,3,3,3,0,2,-2,3,3,3,3,3
115,Brazil ,1,33,6,1,1,5,1,Spiritualism,4,-2,2,1,2,2,2,1,1,0,2,1,1,1,1,3,-1,2,3,3,3,3
116,Brazil ,2,31,12,1,1,5,1,Spiritualism,6,-2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,1,2,2,3,3,3
117,Brazil ,2,39,2,2,0,5,0,Spiritualism,1,0,2,1,2,2,2,2,2,2,2,1,1,1,3,3,-3,-3,3,3,2,3
118,Brazil ,1,48,25,1,1,4,1,Spiritualism,5,2,2,2,2,2,2,2,2,1,2,3,3,3,-1,2,-2,-1,2,2,1,3
119,Brazil ,1,38,7,0,0,5,0,Spiritualism,4,0,2,2,1,2,2,2,2,2,2,3,3,3,1,1,2,0,2,2,0,3
120,Brazil ,1,32,7,2,2,5,1,Spiritualism,6,-3,2,2,1,2,2,2,2,1,2,3,2,3,3,3,0,2,3,3,-3,3
121,Brazil ,2,59,6,2,0,4,0,Spiritualism,6,2,2,2,1,2,2,2,2,2,2,3,3,3,3,3,2,2,3,3,2,2
122,Brazil ,1,32,8,0,0,5,1,Spiritualism,3,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,3,3,2,1
123,Brazil ,1,30,4,0,0,5,1,Spiritualism,6,-2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,0,1,3,3,1,1
124,Brazil ,1,43,2,1,0,5,2,Spiritualism,1,1,2,1,2,1,2,1,1,1,2,2,2,2,2,2,1,3,2,2,1,1
125,Brazil ,1,31,1,0,0,5,1,Spiritualism,2,-1,2,2,2,2,2,2,2,2,2,3,3,3,1,2,1,2,1,1,1,1
126,Brazil ,1,31,6,1,1,5,0,Spiritualism,4,-3,2,2,1,2,2,2,1,0,2,2,2,2,0,3,2,3,3,3,0,1
127,Brazil ,1,23,1,0,0,5,0,Spiritualism,1,0,2,2,2,2,2,2,2,2,2,3,3,3,0,0,-2,-2,3,2,3,0
128,Brazil ,1,38,11,0,0,5,1,Spiritualism,5,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,0
129,Brazil ,2,53,3,3,0,5,0,Spiritualism,5,-3,1,1,1,1,2,2,1,1,0,0,1,0,3,3,0,-1,3,3,0,0
130,Brazil ,1,48,18,2,2,5,1,Spiritualism,4,-2,2,2,2,2,2,2,2,1,2,1,1,1,2,3,0,2,2,3,0,0
131,Brazil ,2,24,1,0,0,5,1,Spiritualism,6,-2,2,2,2,2,2,2,2,2,2,2,3,1,-1,2,1,-2,1,1,0,0
132,Brazil ,1,37,14,2,0,5,0,Spiritualism,4,-3,2,1,2,2,2,2,2,-2,2,-2,-2,-2,1,2,-2,2,3,3,3,-1
133,Brazil ,1,30,10,0,0,5,1,Spiritualism,5,-3,2,2,2,2,2,2,2,-1,2,3,2,2,-1,2,-2,3,2,1,3,-1
134,Brazil ,1,29,2,0,0,4,1,Spiritualism,3,-3,2,2,2,2,2,2,2,2,2,3,3,3,2,3,0,2,3,3,-1,-1
135,Brazil ,1,29,2,0,0,5,1,Spiritualism,5,0,2,2,2,2,2,2,2,2,2,3,2,2,-1,1,-1,-1,-1,3,-1,-1
136,Brazil ,1,26,5,0,0,4,0,Spiritualism,3,-1,2,2,1,2,2,2,2,1,2,3,3,2,0,2,-1,3,3,3,-2,-1
137,Brazil ,2,34,1,0,0,5,1,Other,1,0,2,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
138,Brazil ,1,26,5,1,1,5,1,Other,2,0,2,1,2,2,2,2,2,2,2,2,3,2,0,2,0,3,3,3,2,3
139,Brazil ,1,40,9,0,0,5,1,Other,5,-2,2,2,2,2,2,2,2,2,2,3,3,3,1,1,-1,0,3,3,2,1
140,Brazil ,1,32,6,1,1,5,0,Other,4,-3,2,2,2,2,2,2,2,1,2,3,3,3,3,2,0,-3,3,3,0,0
141,Brazil ,1,30,1,0,0,4,1,Other,6,-3,2,2,2,2,2,2,2,1,2,2,2,2,0,2,-1,-2,1,1,1,-3
142,Brazil ,1,39,17,3,3,4,0,Protestant,7,3,1,2,1,2,2,2,2,1,1,1,1,1,3,3,3,3,3,3,3,3
143,Brazil ,1,22,6,1,1,2,0,Protestant,4,3,2,1,1,2,2,2,-1,-1,2,1,1,1,3,3,3,3,3,3,3,3
144,Brazil ,1,29,9,1,0,4,0,Protestant,7,-2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
145,Brazil ,2,33,13,2,2,4,1,Protestant,4,3,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3
146,Brazil ,2,47,2,3,3,3,2,Protestant,5,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3
147,Brazil ,1,28,13,2,2,4,1,Protestant,4,3,2,2,2,2,2,2,2,2,2,3,3,3,1,3,3,3,3,3,3,3
148,Brazil ,1,43,20,2,2,3,0,Protestant,4,1,-1,1,-2,-2,-2,1,-2,-2,-2,-3,-3,-3,0,3,3,3,3,3,3,3
149,Brazil ,1,26,6,0,0,3,0,Protestant,4,0,2,2,2,2,2,2,1,2,2,3,3,3,-3,-1,3,3,3,3,3,3
150,Brazil ,1,38,18,1,1,3,0,Protestant,5,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,3,3,3,3,3
151,Brazil ,1,30,10,1,1,4,0,Protestant,5,0,2,2,2,2,2,2,2,1,2,3,3,3,3,3,2,3,3,3,3,3
152,Brazil ,1,43,23,2,0,3,1,Protestant,5,1,1,2,1,0,1,2,1,-1,1,0,0,0,3,2,2,3,3,3,3,3
153,Brazil ,1,34,17,2,2,3,0,Protestant,6,1,2,2,1,2,2,2,2,2,2,3,2,2,2,3,1,3,3,3,3,3
154,Brazil ,2,41,15,2,2,5,0,Protestant,5,-1,2,2,2,2,2,2,2,1,2,3,3,3,2,2,1,3,3,3,3,3
155,Brazil ,1,20,0,0,0,4,1,Protestant,6,1,2,2,2,2,2,2,2,2,2,3,3,3,1,1,1,3,3,3,3,3
